## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT GM12878_REP2.sorted.bam --OUTPUT GM12878_REP2.markdup.sorted.bam --METRICS_FILE GM12878_REP2.markdup.sorted.MarkDuplicates.metrics.txt --REMOVE_DUPLICATES false --ASSUME_SORTED true --TMP_DIR tmp --VALIDATION_STRINGENCY LENIENT --REFERENCE_SEQUENCE genome.fa --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Mar 22 04:55:37 GMT 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	83723633	0	0	0	63273661	0	0.755744	20823587

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	6521972	6521972
2.0	1.017942	3835255	3835255
3.0	1.018264	2655584	2655584
4.0	1.01827	1929616	1929616
5.0	1.01827	1420231	1420231
6.0	1.01827	1049951	1049951
7.0	1.01827	771119	771119
8.0	1.01827	559830	559830
9.0	1.01827	400588	400588
10.0	1.01827	285494	285494
11.0	1.01827	205313	205313
12.0	1.01827	147914	147914
13.0	1.01827	109598	109598
14.0	1.01827	82292	82292
15.0	1.01827	64202	64202
16.0	1.01827	50697	50697
17.0	1.01827	40913	40913
18.0	1.01827	33441	33441
19.0	1.01827	27013	27013
20.0	1.01827	22705	22705
21.0	1.01827	18862	18862
22.0	1.01827	16338	16338
23.0	1.01827	14081	14081
24.0	1.01827	12212	12212
25.0	1.01827	10683	10683
26.0	1.01827	9544	9544
27.0	1.01827	8500	8500
28.0	1.01827	7848	7848
29.0	1.01827	7146	7146
30.0	1.01827	6367	6367
31.0	1.01827	5943	5943
32.0	1.01827	5417	5417
33.0	1.01827	4999	4999
34.0	1.01827	4658	4658
35.0	1.01827	4246	4246
36.0	1.01827	4139	4139
37.0	1.01827	3727	3727
38.0	1.01827	3475	3475
39.0	1.01827	3215	3215
40.0	1.01827	2984	2984
41.0	1.01827	2967	2967
42.0	1.01827	2704	2704
43.0	1.01827	2600	2600
44.0	1.01827	2437	2437
45.0	1.01827	2223	2223
46.0	1.01827	2205	2205
47.0	1.01827	2019	2019
48.0	1.01827	1945	1945
49.0	1.01827	1798	1798
50.0	1.01827	1711	1711
51.0	1.01827	1628	1628
52.0	1.01827	1695	1695
53.0	1.01827	1465	1465
54.0	1.01827	1437	1437
55.0	1.01827	1387	1387
56.0	1.01827	1365	1365
57.0	1.01827	1297	1297
58.0	1.01827	1207	1207
59.0	1.01827	1167	1167
60.0	1.01827	1121	1121
61.0	1.01827	1131	1131
62.0	1.01827	1039	1039
63.0	1.01827	960	960
64.0	1.01827	986	986
65.0	1.01827	932	932
66.0	1.01827	928	928
67.0	1.01827	845	845
68.0	1.01827	845	845
69.0	1.01827	734	734
70.0	1.01827	802	802
71.0	1.01827	768	768
72.0	1.01827	720	720
73.0	1.01827	710	710
74.0	1.01827	687	687
75.0	1.01827	681	681
76.0	1.01827	639	639
77.0	1.01827	571	571
78.0	1.01827	567	567
79.0	1.01827	602	602
80.0	1.01827	536	536
81.0	1.01827	518	518
82.0	1.01827	538	538
83.0	1.01827	549	549
84.0	1.01827	464	464
85.0	1.01827	542	542
86.0	1.01827	497	497
87.0	1.01827	449	449
88.0	1.01827	472	472
89.0	1.01827	413	413
90.0	1.01827	425	425
91.0	1.01827	418	418
92.0	1.01827	397	397
93.0	1.01827	351	351
94.0	1.01827	375	375
95.0	1.01827	389	389
96.0	1.01827	375	375
97.0	1.01827	318	318
98.0	1.01827	330	330
99.0	1.01827	324	324
100.0	1.01827	300	300
101.0	0	330	330
102.0	0	303	303
103.0	0	293	293
104.0	0	290	290
105.0	0	255	255
106.0	0	268	268
107.0	0	300	300
108.0	0	284	284
109.0	0	252	252
110.0	0	249	249
111.0	0	244	244
112.0	0	237	237
113.0	0	213	213
114.0	0	211	211
115.0	0	222	222
116.0	0	217	217
117.0	0	211	211
118.0	0	223	223
119.0	0	227	227
120.0	0	203	203
121.0	0	190	190
122.0	0	196	196
123.0	0	190	190
124.0	0	157	157
125.0	0	203	203
126.0	0	173	173
127.0	0	181	181
128.0	0	201	201
129.0	0	183	183
130.0	0	150	150
131.0	0	161	161
132.0	0	187	187
133.0	0	161	161
134.0	0	161	161
135.0	0	125	125
136.0	0	133	133
137.0	0	164	164
138.0	0	141	141
139.0	0	151	151
140.0	0	164	164
141.0	0	134	134
142.0	0	137	137
143.0	0	132	132
144.0	0	118	118
145.0	0	122	122
146.0	0	121	121
147.0	0	137	137
148.0	0	117	117
149.0	0	129	129
150.0	0	102	102
151.0	0	120	120
152.0	0	120	120
153.0	0	119	119
154.0	0	103	103
155.0	0	105	105
156.0	0	115	115
157.0	0	109	109
158.0	0	100	100
159.0	0	103	103
160.0	0	100	100
161.0	0	94	94
162.0	0	109	109
163.0	0	102	102
164.0	0	103	103
165.0	0	86	86
166.0	0	92	92
167.0	0	99	99
168.0	0	92	92
169.0	0	84	84
170.0	0	81	81
171.0	0	74	74
172.0	0	91	91
173.0	0	87	87
174.0	0	69	69
175.0	0	59	59
176.0	0	81	81
177.0	0	76	76
178.0	0	64	64
179.0	0	71	71
180.0	0	90	90
181.0	0	63	63
182.0	0	71	71
183.0	0	65	65
184.0	0	82	82
185.0	0	70	70
186.0	0	73	73
187.0	0	61	61
188.0	0	61	61
189.0	0	69	69
190.0	0	73	73
191.0	0	76	76
192.0	0	70	70
193.0	0	58	58
194.0	0	63	63
195.0	0	62	62
196.0	0	60	60
197.0	0	60	60
198.0	0	69	69
199.0	0	62	62
200.0	0	56	56
201.0	0	63	63
202.0	0	56	56
203.0	0	63	63
204.0	0	53	53
205.0	0	62	62
206.0	0	36	36
207.0	0	60	60
208.0	0	54	54
209.0	0	45	45
210.0	0	40	40
211.0	0	50	50
212.0	0	53	53
213.0	0	48	48
214.0	0	58	58
215.0	0	50	50
216.0	0	56	56
217.0	0	43	43
218.0	0	41	41
219.0	0	55	55
220.0	0	41	41
221.0	0	53	53
222.0	0	48	48
223.0	0	43	43
224.0	0	35	35
225.0	0	45	45
226.0	0	49	49
227.0	0	47	47
228.0	0	44	44
229.0	0	34	34
230.0	0	52	52
231.0	0	38	38
232.0	0	46	46
233.0	0	42	42
234.0	0	32	32
235.0	0	52	52
236.0	0	41	41
237.0	0	38	38
238.0	0	42	42
239.0	0	37	37
240.0	0	35	35
241.0	0	33	33
242.0	0	29	29
243.0	0	30	30
244.0	0	35	35
245.0	0	35	35
246.0	0	38	38
247.0	0	37	37
248.0	0	36	36
249.0	0	39	39
250.0	0	30	30
251.0	0	31	31
252.0	0	36	36
253.0	0	34	34
254.0	0	31	31
255.0	0	30	30
256.0	0	25	25
257.0	0	21	21
258.0	0	33	33
259.0	0	31	31
260.0	0	32	32
261.0	0	34	34
262.0	0	28	28
263.0	0	31	31
264.0	0	32	32
265.0	0	25	25
266.0	0	28	28
267.0	0	33	33
268.0	0	32	32
269.0	0	32	32
270.0	0	28	28
271.0	0	28	28
272.0	0	29	29
273.0	0	28	28
274.0	0	32	32
275.0	0	21	21
276.0	0	27	27
277.0	0	26	26
278.0	0	22	22
279.0	0	24	24
280.0	0	28	28
281.0	0	34	34
282.0	0	33	33
283.0	0	21	21
284.0	0	27	27
285.0	0	20	20
286.0	0	20	20
287.0	0	22	22
288.0	0	18	18
289.0	0	15	15
290.0	0	28	28
291.0	0	29	29
292.0	0	28	28
293.0	0	24	24
294.0	0	20	20
295.0	0	22	22
296.0	0	18	18
297.0	0	17	17
298.0	0	19	19
299.0	0	17	17
300.0	0	18	18
301.0	0	20	20
302.0	0	24	24
303.0	0	19	19
304.0	0	22	22
305.0	0	25	25
306.0	0	17	17
307.0	0	20	20
308.0	0	23	23
309.0	0	19	19
310.0	0	19	19
311.0	0	24	24
312.0	0	18	18
313.0	0	12	12
314.0	0	21	21
315.0	0	17	17
316.0	0	24	24
317.0	0	28	28
318.0	0	17	17
319.0	0	15	15
320.0	0	18	18
321.0	0	21	21
322.0	0	17	17
323.0	0	16	16
324.0	0	15	15
325.0	0	20	20
326.0	0	9	9
327.0	0	21	21
328.0	0	14	14
329.0	0	18	18
330.0	0	12	12
331.0	0	17	17
332.0	0	24	24
333.0	0	21	21
334.0	0	16	16
335.0	0	15	15
336.0	0	18	18
337.0	0	8	8
338.0	0	20	20
339.0	0	15	15
340.0	0	25	25
341.0	0	8	8
342.0	0	19	19
343.0	0	19	19
344.0	0	22	22
345.0	0	15	15
346.0	0	24	24
347.0	0	16	16
348.0	0	9	9
349.0	0	12	12
350.0	0	19	19
351.0	0	13	13
352.0	0	8	8
353.0	0	13	13
354.0	0	13	13
355.0	0	16	16
356.0	0	14	14
357.0	0	17	17
358.0	0	18	18
359.0	0	15	15
360.0	0	15	15
361.0	0	18	18
362.0	0	15	15
363.0	0	17	17
364.0	0	10	10
365.0	0	14	14
366.0	0	19	19
367.0	0	4	4
368.0	0	11	11
369.0	0	14	14
370.0	0	11	11
371.0	0	13	13
372.0	0	10	10
373.0	0	8	8
374.0	0	12	12
375.0	0	12	12
376.0	0	15	15
377.0	0	15	15
378.0	0	13	13
379.0	0	14	14
380.0	0	14	14
381.0	0	11	11
382.0	0	12	12
383.0	0	16	16
384.0	0	7	7
385.0	0	12	12
386.0	0	9	9
387.0	0	11	11
388.0	0	6	6
389.0	0	7	7
390.0	0	12	12
391.0	0	11	11
392.0	0	12	12
393.0	0	11	11
394.0	0	11	11
395.0	0	9	9
396.0	0	10	10
397.0	0	14	14
398.0	0	11	11
399.0	0	5	5
400.0	0	11	11
401.0	0	8	8
402.0	0	9	9
403.0	0	10	10
404.0	0	9	9
405.0	0	7	7
406.0	0	10	10
407.0	0	8	8
408.0	0	15	15
409.0	0	9	9
410.0	0	9	9
411.0	0	8	8
412.0	0	8	8
413.0	0	9	9
414.0	0	15	15
415.0	0	9	9
416.0	0	4	4
417.0	0	7	7
418.0	0	10	10
419.0	0	13	13
420.0	0	3	3
421.0	0	11	11
422.0	0	7	7
423.0	0	6	6
424.0	0	6	6
425.0	0	18	18
426.0	0	16	16
427.0	0	8	8
428.0	0	8	8
429.0	0	14	14
430.0	0	10	10
431.0	0	3	3
432.0	0	11	11
433.0	0	8	8
434.0	0	5	5
435.0	0	7	7
436.0	0	8	8
437.0	0	4	4
438.0	0	5	5
439.0	0	10	10
440.0	0	4	4
441.0	0	8	8
442.0	0	11	11
443.0	0	8	8
444.0	0	11	11
445.0	0	6	6
446.0	0	4	4
447.0	0	5	5
448.0	0	8	8
449.0	0	6	6
450.0	0	14	14
451.0	0	4	4
452.0	0	9	9
453.0	0	11	11
454.0	0	11	11
455.0	0	3	3
456.0	0	4	4
457.0	0	5	5
458.0	0	7	7
459.0	0	10	10
460.0	0	8	8
461.0	0	7	7
462.0	0	6	6
463.0	0	8	8
464.0	0	9	9
465.0	0	7	7
466.0	0	9	9
467.0	0	6	6
468.0	0	5	5
469.0	0	11	11
470.0	0	2	2
471.0	0	6	6
472.0	0	6	6
473.0	0	7	7
474.0	0	10	10
475.0	0	7	7
476.0	0	5	5
477.0	0	11	11
478.0	0	9	9
479.0	0	7	7
480.0	0	6	6
481.0	0	7	7
482.0	0	7	7
483.0	0	10	10
484.0	0	11	11
485.0	0	2	2
486.0	0	7	7
487.0	0	10	10
488.0	0	9	9
489.0	0	5	5
490.0	0	5	5
491.0	0	15	15
492.0	0	4	4
493.0	0	7	7
494.0	0	11	11
495.0	0	2	2
496.0	0	8	8
497.0	0	7	7
498.0	0	5	5
499.0	0	5	5
500.0	0	2	2
501.0	0	6	6
502.0	0	8	8
503.0	0	5	5
504.0	0	6	6
505.0	0	2	2
506.0	0	5	5
507.0	0	4	4
508.0	0	6	6
509.0	0	5	5
510.0	0	4	4
511.0	0	6	6
512.0	0	8	8
513.0	0	5	5
514.0	0	4	4
515.0	0	5	5
516.0	0	3	3
517.0	0	6	6
518.0	0	5	5
519.0	0	4	4
520.0	0	6	6
521.0	0	4	4
522.0	0	5	5
523.0	0	8	8
524.0	0	4	4
525.0	0	5	5
526.0	0	8	8
527.0	0	7	7
528.0	0	3	3
529.0	0	4	4
530.0	0	1	1
531.0	0	8	8
532.0	0	12	12
533.0	0	4	4
534.0	0	7	7
535.0	0	4	4
536.0	0	10	10
537.0	0	4	4
538.0	0	10	10
539.0	0	5	5
540.0	0	7	7
542.0	0	3	3
543.0	0	6	6
544.0	0	3	3
545.0	0	5	5
546.0	0	7	7
547.0	0	3	3
548.0	0	5	5
549.0	0	7	7
550.0	0	4	4
551.0	0	3	3
552.0	0	3	3
553.0	0	3	3
554.0	0	4	4
555.0	0	5	5
556.0	0	2	2
557.0	0	6	6
558.0	0	5	5
559.0	0	3	3
560.0	0	2	2
561.0	0	5	5
562.0	0	4	4
563.0	0	5	5
564.0	0	3	3
565.0	0	5	5
566.0	0	4	4
567.0	0	2	2
568.0	0	2	2
569.0	0	4	4
570.0	0	3	3
