## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT H1_REP1.sorted.bam --OUTPUT H1_REP1.markdup.sorted.bam --METRICS_FILE H1_REP1.markdup.sorted.MarkDuplicates.metrics.txt --REMOVE_DUPLICATES false --ASSUME_SORTED true --TMP_DIR tmp --VALIDATION_STRINGENCY LENIENT --REFERENCE_SEQUENCE genome.fa --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Mar 22 05:25:16 GMT 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	111710886	0	0	0	55780981	0	0.499333	70256251

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	36758287	36758287
2.0	1.203916	11495844	11495844
3.0	1.245497	3877382	3877382
4.0	1.253976	1489150	1489150
5.0	1.255705	684981	684981
6.0	1.256058	376396	376396
7.0	1.25613	238659	238659
8.0	1.256144	164226	164226
9.0	1.256147	121219	121219
10.0	1.256148	91697	91697
11.0	1.256148	72666	72666
12.0	1.256148	58347	58347
13.0	1.256148	48587	48587
14.0	1.256148	40289	40289
15.0	1.256148	34273	34273
16.0	1.256148	29484	29484
17.0	1.256148	25872	25872
18.0	1.256148	22456	22456
19.0	1.256148	19767	19767
20.0	1.256148	17687	17687
21.0	1.256148	15541	15541
22.0	1.256148	13997	13997
23.0	1.256148	12674	12674
24.0	1.256148	11446	11446
25.0	1.256148	10310	10310
26.0	1.256148	9588	9588
27.0	1.256148	8624	8624
28.0	1.256148	8159	8159
29.0	1.256148	7477	7477
30.0	1.256148	6949	6949
31.0	1.256148	6427	6427
32.0	1.256148	5867	5867
33.0	1.256148	5521	5521
34.0	1.256148	5122	5122
35.0	1.256148	4826	4826
36.0	1.256148	4504	4504
37.0	1.256148	4219	4219
38.0	1.256148	3906	3906
39.0	1.256148	3739	3739
40.0	1.256148	3533	3533
41.0	1.256148	3409	3409
42.0	1.256148	3250	3250
43.0	1.256148	3034	3034
44.0	1.256148	2887	2887
45.0	1.256148	2664	2664
46.0	1.256148	2592	2592
47.0	1.256148	2445	2445
48.0	1.256148	2270	2270
49.0	1.256148	2271	2271
50.0	1.256148	2271	2271
51.0	1.256148	2090	2090
52.0	1.256148	1943	1943
53.0	1.256148	1897	1897
54.0	1.256148	1772	1772
55.0	1.256148	1820	1820
56.0	1.256148	1625	1625
57.0	1.256148	1576	1576
58.0	1.256148	1458	1458
59.0	1.256148	1443	1443
60.0	1.256148	1460	1460
61.0	1.256148	1375	1375
62.0	1.256148	1394	1394
63.0	1.256148	1214	1214
64.0	1.256148	1196	1196
65.0	1.256148	1226	1226
66.0	1.256148	1166	1166
67.0	1.256148	1132	1132
68.0	1.256148	1033	1033
69.0	1.256148	1063	1063
70.0	1.256148	1022	1022
71.0	1.256148	989	989
72.0	1.256148	916	916
73.0	1.256148	902	902
74.0	1.256148	879	879
75.0	1.256148	869	869
76.0	1.256148	820	820
77.0	1.256148	775	775
78.0	1.256148	799	799
79.0	1.256148	775	775
