## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT K562_REP2.sorted.bam --OUTPUT K562_REP2.markdup.sorted.bam --METRICS_FILE K562_REP2.markdup.sorted.MarkDuplicates.metrics.txt --REMOVE_DUPLICATES false --ASSUME_SORTED true --TMP_DIR tmp --VALIDATION_STRINGENCY LENIENT --REFERENCE_SEQUENCE genome.fa --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Mar 22 00:25:56 GMT 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	97918819	0	0	0	80482338	0	0.821929	17501532

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	4640258	4640258
2.0	1.003717	2647927	2647927
3.0	1.003731	1880019	1880019
4.0	1.003731	1443589	1443589
5.0	1.003731	1151622	1151622
6.0	1.003731	937787	937787
7.0	1.003731	773512	773512
8.0	1.003731	642951	642951
9.0	1.003731	536481	536481
10.0	1.003731	449485	449485
11.0	1.003731	377012	377012
12.0	1.003731	317273	317273
13.0	1.003731	265039	265039
14.0	1.003731	221398	221398
15.0	1.003731	183740	183740
16.0	1.003731	151071	151071
17.0	1.003731	123690	123690
18.0	1.003731	101062	101062
19.0	1.003731	81931	81931
20.0	1.003731	66651	66651
21.0	1.003731	54061	54061
22.0	1.003731	44657	44657
23.0	1.003731	37111	37111
24.0	1.003731	30885	30885
25.0	1.003731	26287	26287
26.0	1.003731	22304	22304
27.0	1.003731	19094	19094
28.0	1.003731	16665	16665
29.0	1.003731	14726	14726
30.0	1.003731	12970	12970
31.0	1.003731	11212	11212
32.0	1.003731	10326	10326
33.0	1.003731	9157	9157
34.0	1.003731	8277	8277
35.0	1.003731	7168	7168
36.0	1.003731	6649	6649
37.0	1.003731	5963	5963
38.0	1.003731	5354	5354
39.0	1.003731	4906	4906
40.0	1.003731	4473	4473
41.0	1.003731	4092	4092
42.0	1.003731	3652	3652
43.0	1.003731	3485	3485
44.0	1.003731	3218	3218
45.0	1.003731	2865	2865
46.0	1.003731	2751	2751
47.0	1.003731	2546	2546
48.0	1.003731	2472	2472
49.0	1.003731	2312	2312
50.0	1.003731	2187	2187
51.0	1.003731	2071	2071
52.0	1.003731	1921	1921
53.0	1.003731	1782	1782
54.0	1.003731	1692	1692
55.0	1.003731	1611	1611
56.0	1.003731	1567	1567
57.0	1.003731	1456	1456
58.0	1.003731	1393	1393
59.0	1.003731	1327	1327
60.0	1.003731	1220	1220
61.0	1.003731	1218	1218
62.0	1.003731	1115	1115
63.0	1.003731	1093	1093
64.0	1.003731	1035	1035
65.0	1.003731	1040	1040
66.0	1.003731	948	948
67.0	1.003731	958	958
68.0	1.003731	878	878
69.0	1.003731	872	872
70.0	1.003731	823	823
71.0	1.003731	799	799
72.0	1.003731	788	788
73.0	1.003731	749	749
74.0	1.003731	725	725
75.0	1.003731	746	746
76.0	1.003731	673	673
77.0	1.003731	585	585
78.0	1.003731	605	605
79.0	1.003731	585	585
80.0	1.003731	570	570
81.0	1.003731	554	554
82.0	1.003731	519	519
83.0	1.003731	524	524
84.0	1.003731	503	503
85.0	1.003731	471	471
86.0	1.003731	463	463
87.0	1.003731	467	467
88.0	1.003731	458	458
89.0	1.003731	372	372
90.0	1.003731	413	413
91.0	1.003731	421	421
92.0	1.003731	383	383
93.0	1.003731	388	388
94.0	1.003731	378	378
95.0	1.003731	361	361
96.0	1.003731	359	359
97.0	1.003731	352	352
98.0	1.003731	313	313
99.0	1.003731	315	315
100.0	1.003731	335	335
101.0	0	342	342
102.0	0	303	303
103.0	0	302	302
104.0	0	304	304
105.0	0	258	258
106.0	0	282	282
107.0	0	269	269
108.0	0	252	252
109.0	0	248	248
110.0	0	272	272
111.0	0	257	257
112.0	0	252	252
113.0	0	223	223
114.0	0	213	213
115.0	0	220	220
116.0	0	232	232
117.0	0	240	240
118.0	0	208	208
119.0	0	209	209
120.0	0	181	181
121.0	0	171	171
122.0	0	204	204
123.0	0	208	208
124.0	0	175	175
125.0	0	183	183
126.0	0	180	180
127.0	0	152	152
128.0	0	176	176
129.0	0	179	179
130.0	0	160	160
131.0	0	152	152
