task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
227	9e/c862d5	2591701	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_JUNCTIONSATURATION (GM12878_REP1)	COMPLETED	0	2026-03-22 20:44:17.110	3m 36s	3m 36s	101.1%	1.2 GB	2.2 GB	9.5 GB	3.7 MB
244	4a/a00e57	2594778	NFCORE_RNASEQ:RNASEQ:MULTIQC_CUSTOM_BIOTYPE (GM12878_REP2)	COMPLETED	0	2026-03-22 20:47:53.437	856ms	1s	75.2%	10.2 MB	20.8 MB	26.9 MB	2.8 KB
241	69/01df68	2594749	NFCORE_RNASEQ:RNASEQ:MULTIQC_CUSTOM_BIOTYPE (H1_REP2)	COMPLETED	0	2026-03-22 20:47:53.419	936ms	1s	76.2%	10 MB	20.8 MB	26.9 MB	2.8 KB
238	86/6ee596	2594748	NFCORE_RNASEQ:RNASEQ:MULTIQC_CUSTOM_BIOTYPE (K562_REP1)	COMPLETED	0	2026-03-22 20:47:53.414	977ms	1s	74.8%	10.6 MB	20.8 MB	26.9 MB	2.8 KB
250	c6/d9d033	2595673	NFCORE_RNASEQ:RNASEQ:MULTIQC_CUSTOM_BIOTYPE (GM12878_REP1)	COMPLETED	0	2026-03-22 20:47:54.359	886ms	0ms	91.2%	10.4 MB	20.8 MB	26.9 MB	2.8 KB
247	f8/300fe0	2595611	NFCORE_RNASEQ:RNASEQ:MULTIQC_CUSTOM_BIOTYPE (H1_REP1)	COMPLETED	0	2026-03-22 20:47:54.296	961ms	0ms	93.2%	10.4 MB	20.8 MB	26.9 MB	2.8 KB
253	45/f35c91	2595703	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_REVERSE:UCSC_BEDGRAPHTOBIGWIG (K562_REP2)	COMPLETED	0	2026-03-22 20:47:54.395	31s	27s	90.5%	63.4 MB	77.7 MB	1.1 GB	102.4 MB
254	09/3c1dd6	2596218	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_FORWARD:UCSC_BEDGRAPHTOBIGWIG (K562_REP2)	COMPLETED	0	2026-03-22 20:47:55.251	30.3s	26s	89.6%	64.2 MB	78.9 MB	1.1 GB	104.1 MB
257	e4/0cf6c9	2600608	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_FORWARD:UCSC_BEDGRAPHTOBIGWIG (K562_REP1)	COMPLETED	0	2026-03-22 20:48:25.509	17.7s	16s	96.4%	49.2 MB	64 MB	826.1 MB	78.7 MB
243	7b/07182d	2594765	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_REVERSE:UCSC_BEDGRAPHTOBIGWIG (MCF7_REP2)	COMPLETED	0	2026-03-22 20:47:53.431	56.7s	52s	90.8%	108.4 MB	123 MB	2.4 GB	191.1 MB
